Team,Font Color,Fill Color
ANH,110000,EF5225
ARI,EFE1C6,841F27
BOS,110000,FFC422
BUF,FDBB2F,002E62
CGY,FFC758,E03A3E
CAR,E03A3E,8E8E90
CHI,110000,E3263A
COL,A9B0B8,8B2942
CLS,E03A3E,00285C
DAL,C0C0C0,006A4E
DET,FFFFFF,EC1F26
EDM,E66A20,003777
FLA,B9975B,002E5F
LAK,AFB7BA,110000
MIN,EFB410,025736
MON,213770,BF2F38
NSH,FDBB2F,002E62
NJD,E03A3E,110000
NYI,F57D31,00529B
NYR,E6393F,0161AB
OTT,E4173E,D69F0F
PHI,110000,F47940
PIT,110000,D1BD80
SJ,F35F20,05535D
STL,0546A0,FFC325
TB,C0C0C0,013E7D
TOR,FFFFFF,003777
VAN,047A4A,07346F
WSH,00214E,CF132B
WPG,002E62,A8A9AD
VGK,B4975A,333F42
